for,while,if,then,else,switch,case,do,Buggy
0,0,0,0,0,2,8,0,0
0,0,1,0,0,1,7,0,0
2,1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,0,0
2,0,9,0,0,0,0,0,0
2,0,8,0,0,0,0,0,0
3,0,8,0,1,1,3,0,0
0,0,2,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,24,0,0,0,0,0,0
102,67,91,0,11,2,8,24,0
3,0,2,0,0,1,0,0,0
0,0,2,0,0,0,0,0,0
1,0,0,0,0,1,3,0,1
3,0,3,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0
71,47,60,1,3,9,13,15,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
50,25,338,0,65,13,34,22,1
4,0,19,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0
22,19,171,1,61,17,71,2,1
